r_arcsec,x_over_rc,kappa_glafic_raw,kappa_glafic_denoised,kappa_shape_dimless,kappa_glafic_norm,kappa_shape_norm
1.000000000000000021e-03,1.000000000000000021e-03,1.314472351601172399e-04,1.314472351601172399e-04,8.095833921558218682e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.044077471516559113e-03,1.044077471516559113e-03,1.314472220083803789e-04,1.314472220083803789e-04,8.095833111542881655e-01,9.999998999466451766e-01,9.999998999466460647e-01
1.090097766528410131e-03,1.090097766528410131e-03,1.314472076717041100e-04,1.314472076717041100e-04,8.095832228547144016e-01,9.999997908787271461e-01,9.999997908787295886e-01
1.138146519782830745e-03,1.138146519782830745e-03,1.314471920433287529e-04,1.314471920433287529e-04,8.095831265995663273e-01,9.999996719840593684e-01,9.999996719840622550e-01
1.188313140590228131e-03,1.188313140590228131e-03,1.314471750068755044e-04,1.314471750068755044e-04,8.095830216720690808e-01,9.999995423772766179e-01,9.999995423772815029e-01
1.240690979197346926e-03,1.240690979197346926e-03,1.314471564354805942e-04,1.314471564354805942e-04,8.095829072908669044e-01,9.999994010932481414e-01,9.999994010932540256e-01
1.295377500493769809e-03,1.295377500493769809e-03,1.314471361908499695e-04,1.314471361908499695e-04,8.095827826042080178e-01,9.999992470798860777e-01,9.999992470798935162e-01
1.352474465374974011e-03,1.352474465374974011e-03,1.314471141222298719e-04,1.314471141222298719e-04,8.095826466836002488e-01,9.999990791903137222e-01,9.999990791903232701e-01
1.412088120099413199e-03,1.412088120099413199e-03,1.314470900652842274e-04,1.314470900652842274e-04,8.095824985168968979e-01,9.999988961743254690e-01,9.999988961743365712e-01
1.474329393991964839e-03,1.474329393991964839e-03,1.314470638408708259e-04,1.314470638408708259e-04,8.095823370007619868e-01,9.999986966690763701e-01,9.999986966690891377e-01
1.539314105861671386e-03,1.539314105861671386e-03,1.314470352537074006e-04,1.314470352537074006e-04,8.095821609324524992e-01,9.999984791889339197e-01,9.999984791889491298e-01
1.607163179517825296e-03,1.607163179517825296e-03,1.314470040909174414e-04,1.314470040909174414e-04,8.095819690008615455e-01,9.999982421144155698e-01,9.999982421144330003e-01
1.678002868785484795e-03,1.678002868785484795e-03,1.314469701204453085e-04,1.314469701204453085e-04,8.095817597767595020e-01,9.999979836801313748e-01,9.999979836801518029e-01
1.751964992439081605e-03,1.751964992439081605e-03,1.314469330893280950e-04,1.314469330893280950e-04,8.095815317021469726e-01,9.999977019616367313e-01,9.999977019616596019e-01
1.829187179491321893e-03,1.829187179491321893e-03,1.314468927218118263e-04,1.314468927218118263e-04,8.095812830786565106e-01,9.999973948611015073e-01,9.999973948611275976e-01
1.909813125293805935e-03,1.909813125293805935e-03,1.314468487172986582e-04,1.314468487172986582e-04,8.095810120549059574e-01,9.999970600916929797e-01,9.999970600917225116e-01
1.993992858925892203e-03,1.993992858925892203e-03,1.314468007481082166e-04,1.314468007481082166e-04,8.095807166127121368e-01,9.999966951605449017e-01,9.999966951605780974e-01
2.081883022369420203e-03,2.081883022369420203e-03,1.314467484570377629e-04,1.314467484570377629e-04,8.095803945520636535e-01,9.999962973501962393e-01,9.999962973502330987e-01
2.173647161988714448e-03,2.173647161988714448e-03,1.314466914547025378e-04,1.314466914547025378e-04,8.095800434747404406e-01,9.999958636983574678e-01,9.999958636983986571e-01
2.269456032858321089e-03,2.269456032858321089e-03,1.314466293166362796e-04,1.314466293166362796e-04,8.095796607664551559e-01,9.999953909758526605e-01,9.999953909758984016e-01
2.369487916504717153e-03,2.369487916504717153e-03,1.314465615801309914e-04,1.314465615801309914e-04,8.095792435773899731e-01,9.999948756625772761e-01,9.999948756626283464e-01
2.473928952653282453e-03,2.473928952653282453e-03,1.314464877407914279e-04,1.314464877407914279e-04,8.095787888009750022e-01,9.999943139212863485e-01,9.999943139213434140e-01
2.582973485597848517e-03,2.582973485597848517e-03,1.314464072487798801e-04,1.314464072487798801e-04,8.095782930507593456e-01,9.999937015690261166e-01,9.999937015690886222e-01
2.696824425837314639e-03,2.696824425837314639e-03,1.314463195047215773e-04,1.314463195047215773e-04,8.095777526351963793e-01,9.999930340459839417e-01,9.999930340460536637e-01
2.815693627652317461e-03,2.815693627652317461e-03,1.314462238552432222e-04,1.314462238552432222e-04,8.095771635301587388e-01,9.999923063815470137e-01,9.999923063816236191e-01
2.939802283324519268e-03,2.939802283324519268e-03,1.314461195881072271e-04,1.314461195881072271e-04,8.095765213489770629e-01,9.999915131572858495e-01,9.999915131573703375e-01
3.069381334732067951e-03,3.069381334732067951e-03,1.314460059269094774e-04,1.314460059269094774e-04,8.095758213097788980e-01,9.999906484666165607e-01,9.999906484667097084e-01
3.204671903087178905e-03,3.204671903087178905e-03,1.314458820252989348e-04,1.314458820252989348e-04,8.095750581998892859e-01,9.999897058708260289e-01,9.999897058709290576e-01
3.345925737615417558e-03,3.345925737615417558e-03,1.314457469606762814e-04,1.314457469606762814e-04,8.095742263370194758e-01,9.999886783511334754e-01,9.999886783512468291e-01
3.493405684011683440e-03,3.493405684011683440e-03,1.314455997273253091e-04,1.314455997273253091e-04,8.095733195269644300e-01,9.999875582564369259e-01,9.999875582565612708e-01
3.647386173544493737e-03,3.647386173544493737e-03,1.314454392289260160e-04,1.314454392289260160e-04,8.095723310174907095e-01,9.999863372463556610e-01,9.999863372464919964e-01
3.808153733718789170e-03,3.808153733718789170e-03,1.314452642703925966e-04,1.314452642703925966e-04,8.095712534480663525e-01,9.999850062291364416e-01,9.999850062292864328e-01
3.976007521447457414e-03,3.976007521447457414e-03,1.314450735489770209e-04,1.314450735489770209e-04,8.095700787950670385e-01,9.999835552939734251e-01,9.999835552941379602e-01
4.151259879723677611e-03,4.151259879723677611e-03,1.314448656445713884e-04,1.314448656445713884e-04,8.095687983120503084e-01,9.999819736372319579e-01,9.999819736374128132e-01
4.334236918830032884e-03,4.334236918830032884e-03,1.314446390091364143e-04,1.314446390091364143e-04,8.095674024646428713e-01,9.999802494820247967e-01,9.999802494822226384e-01
4.525279123165778031e-03,4.525279123165778031e-03,1.314443919551788818e-04,1.314443919551788818e-04,8.095658808595762590e-01,9.999783699905525625e-01,9.999783699907689449e-01
4.724741984821596852e-03,4.724741984821596852e-03,1.314441226431905900e-04,1.314441226431905900e-04,8.095642221673217120e-01,9.999763211685445130e-01,9.999763211687815456e-01
4.932996665080661806e-03,4.932996665080661806e-03,1.314438290679569683e-04,1.314438290679569683e-04,8.095624140377644107e-01,9.999740877610995282e-01,9.999740877613588763e-01
5.150430685077030807e-03,5.150430685077030807e-03,1.314435090436328973e-04,1.314435090436328973e-04,8.095604430082864456e-01,9.999716531391489305e-01,9.999716531394322594e-01
5.377448646896525013e-03,5.377448646896525013e-03,1.314431601874747706e-04,1.314431601874747706e-04,8.095582944035729644e-01,9.999689991756958163e-01,9.999689991760056795e-01
5.614472986461866745e-03,5.614472986461866745e-03,1.314427799021080701e-04,1.314427799021080701e-04,8.095559522263965357e-01,9.999661061109140769e-01,9.999661061112528060e-01
5.861944759603124333e-03,5.861944759603124333e-03,1.314423653561988330e-04,1.314423653561988330e-04,8.095533990385750389e-01,9.999629524051040219e-01,9.999629524054749474e-01
6.120324462776167117e-03,6.120324462776167117e-03,1.314419134633855706e-04,1.314419134633855706e-04,8.095506158312095746e-01,9.999595145784148098e-01,9.999595145788193751e-01
6.390092889956283141e-03,6.390092889956283141e-03,1.314414208593147010e-04,1.314414208593147010e-04,8.095475818832518211e-01,9.999557670361384210e-01,9.999557670365807338e-01
6.671752027301498279e-03,6.671752027301498279e-03,1.314408838766094648e-04,1.314408838766094648e-04,8.095442746073310269e-01,9.999516818782834271e-01,9.999516818787664851e-01
6.965825987250418710e-03,6.965825987250418710e-03,1.314402985175870892e-04,1.314402985175870892e-04,8.095406693817234212e-01,9.999472286920170205e-01,9.999472286925443765e-01
7.272861983792755849e-03,7.272861983792755849e-03,1.314396604245203417e-04,1.314396604245203417e-04,8.095367393671922818e-01,9.999423743254266528e-01,9.999423743260031916e-01
7.593431350727247037e-03,7.593431350727247037e-03,1.314389648472245474e-04,1.314389648472245474e-04,8.095324553073538487e-01,9.999370826409348378e-01,9.999370826415641123e-01
7.928130604801865086e-03,7.928130604801865086e-03,1.314382066077288342e-04,1.314382066077288342e-04,8.095277853110914856e-01,9.999313142465309223e-01,9.999313142472175953e-01
8.277582555714580598e-03,8.277582555714580598e-03,1.314373800617702588e-04,1.314373800617702588e-04,8.095226946153960546e-01,9.999250262028336333e-01,9.999250262035833670e-01
8.642437465040047478e-03,8.642437465040047478e-03,1.314364790568254789e-04,1.314364790568254789e-04,8.095171453268823480e-01,9.999181717038121420e-01,9.999181717046305984e-01
